% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	1	1	0	0	85	0	1	0
32	2	1	1	0	0	85	0	1	1
32	3	1	1	0	0	85	0	1	2
33	1	1	1	0	0	85	0	1	0
33	2	1	1	0	0	85	0	1	1
33	3	1	1	0	0	85	0	1	2
34	1	1	1	0	0	85	0	1	0
34	2	1	1	0	0	85	0	1	1
34	3	1	1	0	0	85	0	1	2
35	1	1	1	0	0	85	0	1	0
35	2	1	1	0	0	85	0	1	1
35	3	1	1	0	0	85	0	1	2
36	1	1	1	0	0	85	0	1	0
36	2	1	1	0	0	85	0	1	1
36	3	1	1	0	0	85	0	1	2
37	1	1	1	0	0	85	0	1	0
37	2	1	1	0	0	85	0	1	1
37	3	1	1	0	0	85	0	1	2
38	1	1	1	0	0	85	0	1	0
38	2	1	1	0	0	85	0	1	1
38	3	1	1	0	0	85	0	1	2
39	1	1	1	0	0	85	0	1	0
39	2	1	1	0	0	85	0	1	1
39	3	1	1	0	0	85	0	1	2
40	1	1	1	0	0	85	0	1	0
40	2	1	1	0	0	85	0	1	1
40	3	1	1	0	0	85	0	1	2
41	1	1	1	0	0	85	0	1	0
41	2	1	1	0	0	85	0	1	1
41	3	1	1	0	0	85	0	1	2
42	1	1	1	0	0	85	0	1	0
42	2	1	1	0	0	85	0	1	1
42	3	1	1	0	0	85	0	1	2
43	1	1	1	0	0	85	0	1	0
43	2	1	1	0	0	85	0	1	1
43	3	1	1	0	0	85	0	1	2
44	1	1	1	0	0	85	0	1	0
44	2	1	1	0	0	85	0	1	1
44	3	1	1	0	0	85	0	1	2
45	1	1	1	0	0	85	0	1	0
45	2	1	1	0	0	85	0	1	1
45	3	1	1	0	0	85	0	1	2
46	1	1	1	0	0	85	0	1	0
46	2	1	1	0	0	85	0	1	1
46	3	1	1	0	0	85	0	1	2
47	1	1	1	0	14	807	0	1	0
47	2	1	1	0	14	807	0	1	1
47	3	1	1	0	14	807	0	1	2
48	1	1	1	0	14	807	0	1	0
48	2	1	1	0	14	807	0	1	1
48	3	1	1	0	14	807	0	1	2
49	1	1	1	0	14	807	0	1	0
49	2	1	1	0	14	807	0	1	1
49	3	1	1	0	14	807	0	1	2
50	1	1	1	0	14	807	0	1	0
50	2	1	1	0	14	807	0	1	1
50	3	1	1	0	14	807	0	1	2
51	1	1	1	0	14	807	0	1	0
51	2	1	1	0	14	807	0	1	1
51	3	1	1	0	14	807	0	1	2
52	1	1	1	0	14	807	0	1	0
52	2	1	1	0	14	807	0	1	1
52	3	1	1	0	14	807	0	1	2
53	1	1	1	0	14	807	0	1	0
53	2	1	1	0	14	807	0	1	1
53	3	1	1	0	14	807	0	1	2
54	1	1	1	0	14	807	0	1	0
54	2	1	1	0	14	807	0	1	1
54	3	1	1	0	14	807	0	1	2
55	1	1	1	0	14	807	0	1	0
55	2	1	1	0	14	807	0	1	1
55	3	1	1	0	14	807	0	1	2
56	1	1	1	0	14	807	0	1	0
56	2	1	1	0	14	807	0	1	1
56	3	1	1	0	14	807	0	1	2
57	1	1	1	0	14	807	0	1	0
57	2	1	1	0	14	807	0	1	1
57	3	1	1	0	14	807	0	1	2
58	1	1	1	0	14	807	0	1	0
58	2	1	1	0	14	807	0	1	1
58	3	1	1	0	14	807	0	1	2
59	1	1	1	0	14	807	0	1	0
59	2	1	1	0	14	807	0	1	1
59	3	1	1	0	14	807	0	1	2
60	1	1	1	0	14	807	0	1	0
60	2	1	1	0	14	807	0	1	1
60	3	1	1	0	14	807	0	1	2
61	1	1	1	0	14	807	0	1	0
61	2	1	1	0	14	807	0	1	1
61	3	1	1	0	14	807	0	1	2
62	1	1	1	0	14	807	0	1	0
62	2	1	1	0	14	807	0	1	1
62	3	1	1	0	14	807	0	1	2
63	1	1	1	0	14	807	0	1	0
63	2	1	1	0	14	807	0	1	1
63	3	1	1	0	14	807	0	1	2
