% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
357	1	1	1	0	0	28	2196	0	1	1	0
358	1	1	1	0	0	28	2196	0	1	1	0
359	1	1	1	0	0	28	2196	0	1	1	0
360	1	1	1	0	0	28	2196	0	1	1	0
361	1	1	1	0	0	28	2196	0	1	1	0
362	1	1	1	0	0	28	2196	0	1	1	0
363	1	1	1	0	0	28	2196	0	1	1	0
364	1	1	1	0	0	28	2196	0	1	1	0
365	1	1	1	0	0	28	2196	0	1	1	0
366	1	1	1	0	0	28	2196	0	1	1	0
367	1	1	1	0	0	28	2196	0	1	1	0
368	1	1	1	0	0	28	2196	0	1	1	0
369	1	1	1	0	0	28	2196	0	1	1	0
370	1	1	1	0	0	28	2196	0	1	1	0
371	1	1	1	0	0	28	2196	0	1	1	0
372	1	1	1	0	0	28	2196	0	1	1	0
373	1	1	1	0	0	28	2196	0	1	1	0
374	1	1	1	0	0	28	2196	0	1	1	0
375	1	1	1	0	0	28	2196	0	1	1	0
376	1	1	1	0	0	28	2196	0	1	1	0
377	1	1	1	0	0	28	2196	0	1	1	0
378	1	1	1	0	0	28	2196	0	1	1	0
379	1	1	1	0	0	28	2196	0	1	1	0
380	1	1	1	0	0	28	2196	0	1	1	0
381	1	1	1	0	0	28	2196	0	1	1	0
382	1	1	1	0	0	28	2196	0	1	1	0
383	1	1	1	0	0	28	2196	0	1	1	0
384	1	1	1	0	0	28	2196	0	1	1	0
385	1	1	1	0	0	28	2196	0	1	1	0
386	1	1	1	0	0	28	2196	0	1	1	0
387	1	1	1	0	0	28	2196	0	1	1	0
388	1	1	1	0	0	28	2196	0	1	1	0
389	1	1	1	0	0	28	2196	0	1	1	0
390	1	1	1	0	0	28	2196	0	1	1	0
391	1	1	1	0	0	28	2196	0	1	1	0
392	1	1	1	0	0	28	2196	0	1	1	0
393	1	1	1	0	0	28	2196	0	1	1	0
394	1	1	1	0	0	28	2196	0	1	1	0
395	1	1	1	0	0	28	2196	0	1	1	0
396	1	1	1	0	0	28	2196	0	1	1	0
397	1	1	1	0	0	28	2196	0	1	1	0
398	1	1	1	0	0	28	2196	0	1	1	0
399	1	1	1	0	0	28	2196	0	1	1	0
403	1	1	1	0	0	28	2196	0	1	0	0
