% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1881	2	1	1	0	0	85	0	1	0
1882	2	1	1	0	0	85	0	1	0
1883	2	1	1	0	0	85	0	1	0
1884	2	1	1	0	0	85	0	1	0
1885	2	1	1	0	0	85	0	1	0
1886	2	1	1	0	0	85	0	1	0
1887	2	1	1	0	28	2292	0	1	0
1888	2	1	1	0	28	2292	0	1	0
1889	2	1	1	0	28	2292	0	1	0
1890	2	1	1	0	28	2292	0	1	0
1891	2	1	1	0	28	2292	0	1	0
1892	2	1	1	0	28	2292	0	1	0
1893	2	1	1	0	28	2292	0	1	0
1894	2	1	1	0	28	2292	0	1	0
1895	2	1	1	0	28	2292	0	1	0
1896	2	1	1	0	28	2292	0	1	0
1897	2	1	1	0	28	2292	0	1	0
1898	2	1	1	0	28	2292	0	1	0
1899	2	1	1	0	28	2292	0	1	0
1900	2	1	1	0	28	2292	0	1	0
1901	2	1	1	0	28	2292	0	1	0
1902	2	1	1	0	28	2292	0	1	0
1903	2	1	1	0	28	2292	0	1	0
1904	2	1	1	0	28	2292	0	1	0
1905	2	1	1	0	28	2292	0	1	0
1906	2	1	1	0	28	2292	0	1	0
1907	2	1	1	0	28	2292	0	1	0
1908	2	1	1	0	28	2292	0	1	0
1909	2	1	1	0	28	2292	0	1	0
1910	2	1	1	0	28	2292	0	1	0
1911	2	1	1	0	28	2292	0	1	0
1912	2	1	1	0	28	2292	0	1	0
1913	2	1	1	0	28	2292	0	1	0
1914	2	1	1	0	28	2292	0	1	0
1915	2	1	1	0	28	2292	0	1	0
1916	2	1	1	0	28	2292	0	1	0
1917	2	1	1	0	28	2292	0	1	0
1918	2	1	1	0	28	2292	0	1	0
1919	2	1	1	0	28	2292	0	1	0
1920	2	1	1	0	28	2292	0	1	0
1921	2	1	1	0	28	2292	0	1	0
1922	2	1	1	0	28	2292	0	1	0
1923	2	1	1	0	28	2292	0	1	0
1924	2	1	1	0	28	2292	0	1	0
1925	2	1	1	0	28	2292	0	1	0
1926	2	1	1	0	28	2292	0	1	0
1927	2	1	1	0	28	2292	0	1	0
1928	2	1	1	0	28	2292	0	1	0
1929	2	1	1	0	28	2292	0	1	0
1930	2	1	1	0	28	2292	0	1	0
1931	2	1	1	0	28	2292	0	1	0
1932	2	1	1	0	28	2292	0	1	0
1933	2	1	1	0	28	2292	0	1	0
1934	2	1	1	0	28	2292	0	1	0
1935	2	1	1	0	28	2292	0	1	0
1936	2	1	1	0	28	2292	0	1	0
1937	2	1	1	0	28	2292	0	1	0
1938	2	1	1	0	28	2292	0	1	0
1939	2	1	1	0	28	2292	0	1	0
1940	2	1	1	0	28	2292	0	1	0
1941	2	1	1	0	28	2292	0	1	0
1942	2	1	1	0	28	2292	0	1	0
1943	2	1	1	0	28	2292	0	1	0
1944	2	1	1	0	28	2292	0	1	0
1945	2	1	1	0	28	2292	0	1	0
1946	2	1	1	0	28	2292	0	1	0
1947	2	1	1	0	28	2292	0	1	0
1948	2	1	1	0	28	2292	0	1	0
1949	2	1	1	0	28	2292	0	1	0
1950	2	1	1	0	28	2292	0	1	0
1951	2	1	1	0	28	2292	0	1	0
1952	2	1	1	0	28	2292	0	1	0
1953	2	1	1	0	28	2292	0	1	0
1954	2	1	1	0	28	2292	0	1	0
1955	2	1	1	0	28	2292	0	1	0
1956	2	1	1	0	28	2292	0	1	0
1957	2	1	1	0	28	2292	0	1	0
1958	2	1	1	0	28	2292	0	1	0
1959	2	1	1	0	28	2292	0	1	0
1960	2	1	1	0	28	2292	0	1	0
1961	2	1	1	0	28	2292	0	1	0
1962	2	1	1	0	28	2292	0	1	0
1963	2	1	1	0	28	2292	0	1	0
1964	2	1	1	0	28	2292	0	1	0
1965	2	1	1	0	28	2292	0	1	0
1966	2	1	1	0	28	2292	0	1	0
1967	2	1	1	0	28	2292	0	1	0
1968	2	1	1	0	28	2292	0	1	0
1969	2	1	1	0	28	2292	0	1	0
1970	2	1	1	0	28	2292	0	1	0
1971	2	1	1	0	28	2292	0	1	0
1972	2	1	1	0	28	2292	0	1	0
1973	2	1	1	0	28	2292	0	1	0
1974	2	1	1	0	28	2292	0	1	0
1975	2	1	1	0	28	2292	0	1	0
1976	2	1	1	0	28	2292	0	1	0
1977	2	1	1	0	28	2292	0	1	0
1978	2	1	1	0	28	2292	0	1	0
1979	2	1	1	0	28	2292	0	1	0
1980	2	1	1	0	28	2292	0	1	0
1981	2	1	1	0	28	2292	0	1	0
1982	2	1	1	0	28	2292	0	1	0
1983	2	1	1	0	28	2292	0	1	0
1984	2	1	1	0	28	2292	0	1	0
1985	2	1	1	0	28	2292	0	1	0
1986	2	1	1	0	28	2292	0	1	0
1987	2	1	1	0	28	2292	0	1	0
1988	2	1	1	0	28	2292	0	1	0
1989	2	1	1	0	28	2292	0	1	0
1990	2	1	1	0	28	2292	0	1	0
1991	2	1	1	0	28	2292	0	1	0
1992	2	1	1	0	28	2292	0	1	0
1993	2	1	1	0	28	2292	0	1	0
1994	2	1	1	0	28	2292	0	1	0
1995	2	1	1	0	28	2292	0	1	0
1996	2	1	1	0	28	2292	0	1	0
1997	2	1	1	0	28	2292	0	1	0
1998	2	1	1	0	28	2292	0	1	0
1999	2	1	1	0	28	2292	0	1	0
2000	2	1	1	0	28	2292	0	1	0
2001	2	1	1	0	28	2292	0	1	0
2002	2	1	1	0	28	2292	0	1	0
2003	2	1	1	0	28	2292	0	1	0
