% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.335	1	1	34	6	1	0	85	0
0.488	1	1	49	9	1	0	85	0
0.64	1	1	65	1	1	0	85	0
0.489	1	1	49	10	1	0	85	0
0.336	1	1	34	7	1	0	85	0
0.641	1	1	65	2	1	0	85	0
0.49	1	1	50	1	1	0	85	0
0.337	1	1	34	8	1	0	85	0
0.642	1	1	65	3	1	0	85	0
0.491	1	1	50	2	1	0	85	0
0.338	1	1	34	9	1	0	85	0
0.643	1	1	65	4	1	0	85	0
0.339	1	1	34	10	1	0	85	0
0.492	1	1	50	3	1	0	85	0
0.644	1	1	65	5	1	0	85	0
0.493	1	1	50	4	1	0	85	0
0.34	1	1	35	1	1	0	85	0
0.645	1	1	65	6	1	0	85	0
0.494	1	1	50	5	1	0	85	0
0.341	1	1	35	2	1	0	85	0
0.646	1	1	65	7	1	0	85	0
0.342	1	1	35	3	1	0	85	0
0.495	1	1	50	6	1	0	85	0
0.647	1	1	65	8	1	0	85	0
0.343	1	1	35	4	1	0	85	0
0.496	1	1	50	7	1	0	85	0
0.648	1	1	65	9	1	0	85	0
0.497	1	1	50	8	1	0	85	0
0.344	1	1	35	5	1	0	85	0
0.649	1	1	65	10	1	0	85	0
0.498	1	1	50	9	1	0	85	0
0.345	1	1	35	6	1	0	85	0
0.65	1	1	66	1	1	0	85	0
0.499	1	1	50	10	1	0	85	0
0.346	1	1	35	7	1	0	85	0
0.651	1	1	66	2	1	0	85	0
0.5	1	1	51	1	1	0	85	0
0.347	1	1	35	8	1	0	85	0
0.652	1	1	66	3	1	0	85	0
0.501	1	1	51	2	1	0	85	0
0.348	1	1	35	9	1	0	85	0
0.653	1	1	66	4	1	0	85	0
0.502	1	1	51	3	1	0	85	0
0.349	1	1	35	10	1	0	85	0
0.503	1	1	51	4	1	0	85	0
0.654	1	1	66	5	1	0	85	0
0.35	1	1	36	1	1	0	85	0
0.504	1	1	51	5	1	0	85	0
0.655	1	1	66	6	1	0	85	0
0.351	1	1	36	2	1	0	85	0
0.656	1	1	66	7	1	0	85	0
0.352	1	1	36	3	1	0	85	0
0.657	1	1	66	8	1	0	85	0
0.353	1	1	36	4	1	0	85	0
0.505	1	1	51	6	1	0	85	0
0.658	1	1	66	9	1	0	85	0
0.354	1	1	36	5	1	0	85	0
0.506	1	1	51	7	1	0	85	0
0.659	1	1	66	10	1	0	85	0
0.355	1	1	36	6	1	0	85	0
0.507	1	1	51	8	1	0	85	0
0.66	1	1	67	1	1	0	85	0
0.356	1	1	36	7	1	0	85	0
0.508	1	1	51	9	1	0	85	0
0.661	1	1	67	2	1	0	85	0
0.357	1	1	36	8	1	0	85	0
0.509	1	1	51	10	1	0	85	0
0.662	1	1	67	3	1	0	85	0
0.358	1	1	36	9	1	0	85	0
0.51	1	1	52	1	1	0	85	0
0.663	1	1	67	4	1	0	85	0
0.359	1	1	36	10	1	0	85	0
0.511	1	1	52	2	1	0	85	0
0.664	1	1	67	5	1	0	85	0
0.36	1	1	37	1	1	0	85	0
