% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.281	1	1	1	0.882795	0
0.441	1	1	1	0.807786	0
0.601	1	1	1	0.740612	0
6.801	1	1	1	0.0668011	0
0.321	1	1	1	0.86325	0
0.481	1	1	1	0.790298	0
6.841	1	1	1	0.0660329	0
0.641	1	1	1	0.724927	0
0.361	1	1	1	0.844245	0
6.881	1	1	1	0.0652758	0
0.521	1	1	1	0.773283	0
0.681	1	1	1	0.709657	0
6.921	1	1	1	0.0645295	0
0.401	1	1	1	0.825762	0
0.561	1	1	1	0.756726	0
0.721	1	1	1	0.694788	0
6.961	1	1	1	0.063794	0
0.441	1	1	1	0.807786	0
0.601	1	1	1	0.740612	0
0.761	1	1	1	0.680309	0
7.001	1	1	1	0.0630689	0
0.481	1	1	1	0.790298	0
0.641	1	1	1	0.724927	0
7.041	1	1	1	0.0623542	0
0.801	1	1	1	0.666208	0
0.521	1	1	1	0.773283	0
7.081	1	1	1	0.0616496	0
0.681	1	1	1	0.709657	0
0.841	1	1	1	0.652471	0
7.121	1	1	1	0.060955	0
0.721	1	1	1	0.694788	0
0.561	1	1	1	0.756726	0
0.881	1	1	1	0.639089	0
7.161	1	1	1	0.0602702	0
0.761	1	1	1	0.680309	0
0.601	1	1	1	0.740612	0
0.921	1	1	1	0.626049	0
7.201	1	1	1	0.059595	0
0.801	1	1	1	0.666208	0
0.641	1	1	1	0.724927	0
7.241	1	1	1	0.0589293	0
0.961	1	1	1	0.613342	0
0.841	1	1	1	0.652471	0
0.681	1	1	1	0.709657	0
7.281	1	1	1	0.058273	0
1.001	1	1	1	0.600958	0
0.881	1	1	1	0.639089	0
7.321	1	1	1	0.0576258	0
0.721	1	1	1	0.694788	0
1.041	1	1	1	0.588886	0
7.361	1	1	1	0.0569876	0
0.921	1	1	1	0.626049	0
0.761	1	1	1	0.680309	0
1.081	1	1	1	0.577117	0
7.401	1	1	1	0.0563582	0
0.961	1	1	1	0.613342	0
0.801	1	1	1	0.666208	0
1.121	1	1	1	0.565642	0
7.441	1	1	1	0.0557376	0
1.001	1	1	1	0.600958	0
0.841	1	1	1	0.652471	0
7.481	1	1	1	0.0551255	0
1.161	1	1	1	0.554452	0
1.041	1	1	1	0.588886	0
7.521	1	1	1	0.0545218	0
1.201	1	1	1	0.543539	0
0.881	1	1	1	0.639089	0
1.081	1	1	1	0.577117	0
7.561	1	1	1	0.0539264	0
1.241	1	1	1	0.532895	0
0.921	1	1	1	0.626049	0
7.601	1	1	1	0.0533392	0
1.121	1	1	1	0.565642	0
1.281	1	1	1	0.522511	0
0.961	1	1	1	0.613342	0
7.641	1	1	1	0.05276	0
1.161	1	1	1	0.554452	0
1.321	1	1	1	0.51238	0
1.001	1	1	1	0.600958	0
7.681	1	1	1	0.0521886	0
1.201	1	1	1	0.543539	0
1.361	1	1	1	0.502494	0
7.721	1	1	1	0.0516251	0
1.241	1	1	1	0.532895	0
1.041	1	1	1	0.588886	0
1.401	1	1	1	0.492848	0
7.761	1	1	1	0.0510691	0
1.281	1	1	1	0.522511	0
1.081	1	1	1	0.577117	0
1.441	1	1	1	0.483432	0
7.801	1	1	1	0.0505206	0
1.321	1	1	1	0.51238	0
1.121	1	1	1	0.565642	0
1.481	1	1	1	0.474242	0
7.841	1	1	1	0.0499796	0
1.361	1	1	1	0.502494	0
1.161	1	1	1	0.554452	0
1.521	1	1	1	0.46527	0
7.881	1	1	1	0.0494457	0
1.401	1	1	1	0.492848	0
1.201	1	1	1	0.543539	0
1.561	1	1	1	0.45651	0
7.921	1	1	1	0.0489191	0
1.441	1	1	1	0.483432	0
1.241	1	1	1	0.532895	0
7.961	1	1	1	0.0483994	0
1.601	1	1	1	0.447956	0
1.481	1	1	1	0.474242	0
1.281	1	1	1	0.522511	0
8.001	1	1	1	0.0478867	0
1.641	1	1	1	0.439603	0
1.521	1	1	1	0.46527	0
1.321	1	1	1	0.51238	0
8.041	1	1	1	0.0473808	0
1.561	1	1	1	0.45651	0
1.681	1	1	1	0.431445	0
8.081	1	1	1	0.0468815	0
1.361	1	1	1	0.502494	0
1.601	1	1	1	0.447956	0
1.721	1	1	1	0.423476	0
8.121	1	1	1	0.0463889	0
1.401	1	1	1	0.492848	0
1.641	1	1	1	0.439603	0
1.761	1	1	1	0.415691	0
8.161	1	1	1	0.0459028	0
1.681	1	1	1	0.431445	0
1.441	1	1	1	0.483432	0
1.801	1	1	1	0.408085	0
8.201	1	1	1	0.045423	0
1.721	1	1	1	0.423476	0
1.481	1	1	1	0.474242	0
1.841	1	1	1	0.400653	0
8.241	1	1	1	0.0449495	0
1.761	1	1	1	0.415691	0
1.521	1	1	1	0.46527	0
1.881	1	1	1	0.39339	0
8.281	1	1	1	0.0444822	0
1.801	1	1	1	0.408085	0
1.561	1	1	1	0.45651	0
1.921	1	1	1	0.386292	0
8.321	1	1	1	0.044021	0
1.841	1	1	1	0.400653	0
1.601	1	1	1	0.447956	0
1.961	1	1	1	0.379354	0
8.361	1	1	1	0.0435658	0
1.881	1	1	1	0.39339	0
1.641	1	1	1	0.439603	0
2.001	1	1	1	0.372572	0
8.401	1	1	1	0.0431165	0
1.921	1	1	1	0.386292	0
1.681	1	1	1	0.431445	0
2.041	1	1	1	0.365941	0
8.441	1	1	1	0.042673	0
1.961	1	1	1	0.379354	0
2.081	1	1	1	0.359458	0
1.721	1	1	1	0.423476	0
8.481	1	1	1	0.0422352	0
2.001	1	1	1	0.372572	0
2.121	1	1	1	0.353119	0
1.761	1	1	1	0.415691	0
8.521	1	1	1	0.041803	0
2.041	1	1	1	0.365941	0
2.161	1	1	1	0.34692	0
8.561	1	1	1	0.0413764	0
1.801	1	1	1	0.408085	0
2.081	1	1	1	0.359458	0
2.201	1	1	1	0.340857	0
8.601	1	1	1	0.0409552	0
2.121	1	1	1	0.353119	0
1.841	1	1	1	0.400653	0
8.641	1	1	1	0.0405394	0
2.241	1	1	1	0.334926	0
2.161	1	1	1	0.34692	0
1.881	1	1	1	0.39339	0
8.681	1	1	1	0.0401289	0
2.281	1	1	1	0.329124	0
2.201	1	1	1	0.340857	0
1.921	1	1	1	0.386292	0
