% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	1.76517e+06	0
0.041	2	2	1	1.76517e+06	1
0.041	3	2	1	1.76517e+06	2
0.042	1	3	2	1.76517e+06	0
0.042	2	3	2	1.76517e+06	1
0.042	3	3	2	1.76517e+06	2
0.043	1	1	3	1.76517e+06	0
0.043	2	1	3	1.76517e+06	1
0.043	3	1	3	1.76517e+06	2
0.081	1	2	1	1.76517e+06	0
0.081	2	2	1	1.76517e+06	1
0.081	3	2	1	1.76517e+06	2
0.082	1	3	2	1.76517e+06	0
0.082	2	3	2	1.76517e+06	1
0.082	3	3	2	1.76517e+06	2
0.083	1	1	3	1.76517e+06	0
0.083	2	1	3	1.76517e+06	1
0.083	3	1	3	1.76517e+06	2
0.121	1	2	1	1.76517e+06	0
0.121	2	2	1	1.76517e+06	1
0.121	3	2	1	1.76517e+06	2
0.122	1	3	2	1.76517e+06	0
0.122	2	3	2	1.76517e+06	1
0.122	3	3	2	1.76517e+06	2
0.123	1	1	3	1.76517e+06	0
0.123	2	1	3	1.76517e+06	1
0.123	3	1	3	1.76517e+06	2
0.161	1	2	1	1.76517e+06	0
0.161	2	2	1	1.76517e+06	1
0.161	3	2	1	1.76517e+06	2
0.162	1	3	2	1.76517e+06	0
0.162	2	3	2	1.76517e+06	1
0.162	3	3	2	1.76517e+06	2
0.163	1	1	3	1.76517e+06	0
0.163	2	1	3	1.76517e+06	1
0.163	3	1	3	1.76517e+06	2
0.201	1	2	1	1.76517e+06	0
0.201	2	2	1	1.76517e+06	1
0.201	3	2	1	1.76517e+06	2
0.202	1	3	2	1.76517e+06	0
0.202	2	3	2	1.76517e+06	1
0.202	3	3	2	1.76517e+06	2
0.203	1	1	3	1.76517e+06	0
0.203	2	1	3	1.76517e+06	1
0.203	3	1	3	1.76517e+06	2
0.241	1	2	1	1.76517e+06	0
0.241	2	2	1	1.76517e+06	1
0.241	3	2	1	1.76517e+06	2
0.242	1	3	2	1.76517e+06	0
0.242	2	3	2	1.76517e+06	1
0.242	3	3	2	1.76517e+06	2
0.243	1	1	3	1.76517e+06	0
0.243	2	1	3	1.76517e+06	1
0.243	3	1	3	1.76517e+06	2
0.281	1	2	1	1.76517e+06	0
0.281	2	2	1	1.76517e+06	1
0.281	3	2	1	1.76517e+06	2
0.282	1	3	2	1.76517e+06	0
0.282	2	3	2	1.76517e+06	1
0.282	3	3	2	1.76517e+06	2
0.283	1	1	3	1.76517e+06	0
0.283	2	1	3	1.76517e+06	1
0.283	3	1	3	1.76517e+06	2
0.321	1	2	1	1.76517e+06	0
0.321	2	2	1	1.76517e+06	1
0.321	3	2	1	1.76517e+06	2
0.322	1	3	2	1.76517e+06	0
0.322	2	3	2	1.76517e+06	1
0.322	3	3	2	1.76517e+06	2
0.323	1	1	3	1.76517e+06	0
0.323	2	1	3	1.76517e+06	1
0.323	3	1	3	1.76517e+06	2
0.361	1	2	1	1.76517e+06	0
0.361	2	2	1	1.76517e+06	1
0.361	3	2	1	1.76517e+06	2
0.362	1	3	2	1.76517e+06	0
0.362	2	3	2	1.76517e+06	1
0.362	3	3	2	1.76517e+06	2
0.363	1	1	3	1.76517e+06	0
0.363	2	1	3	1.76517e+06	1
0.363	3	1	3	1.76517e+06	2
0.401	1	2	1	1.76517e+06	0
0.401	2	2	1	1.76517e+06	1
0.401	3	2	1	1.76517e+06	2
0.402	1	3	2	1.76517e+06	0
0.402	2	3	2	1.76517e+06	1
0.402	3	3	2	1.76517e+06	2
0.403	1	1	3	1.76517e+06	0
0.403	2	1	3	1.76517e+06	1
0.403	3	1	3	1.76517e+06	2
0.441	1	2	1	1.76517e+06	0
0.441	2	2	1	1.76517e+06	1
0.441	3	2	1	1.76517e+06	2
0.442	1	3	2	1.76517e+06	0
0.442	2	3	2	1.76517e+06	1
0.442	3	3	2	1.76517e+06	2
0.443	1	1	3	1.76517e+06	0
0.443	2	1	3	1.76517e+06	1
0.443	3	1	3	1.76517e+06	2
0.481	1	2	1	1.76517e+06	0
0.481	2	2	1	1.76517e+06	1
0.481	3	2	1	1.76517e+06	2
0.482	1	3	2	1.76517e+06	0
0.482	2	3	2	1.76517e+06	1
0.482	3	3	2	1.76517e+06	2
0.483	1	1	3	1.76517e+06	0
0.483	2	1	3	1.76517e+06	1
0.483	3	1	3	1.76517e+06	2
0.521	1	2	1	1.76517e+06	0
0.521	2	2	1	1.76517e+06	1
0.521	3	2	1	1.76517e+06	2
0.522	1	3	2	1.76517e+06	0
0.522	2	3	2	1.76517e+06	1
0.522	3	3	2	1.76517e+06	2
0.523	1	1	3	1.76517e+06	0
0.523	2	1	3	1.76517e+06	1
0.523	3	1	3	1.76517e+06	2
0.561	1	2	1	1.76517e+06	0
0.561	2	2	1	1.76517e+06	1
0.561	3	2	1	1.76517e+06	2
0.562	1	3	2	1.76517e+06	0
0.562	2	3	2	1.76517e+06	1
0.562	3	3	2	1.76517e+06	2
0.563	1	1	3	1.76517e+06	0
0.563	2	1	3	1.76517e+06	1
0.563	3	1	3	1.76517e+06	2
0.601	1	2	1	1.76517e+06	0
0.601	2	2	1	1.76517e+06	1
0.601	3	2	1	1.76517e+06	2
0.602	1	3	2	1.76517e+06	0
0.602	2	3	2	1.76517e+06	1
0.602	3	3	2	1.76517e+06	2
0.603	1	1	3	1.76517e+06	0
0.603	2	1	3	1.76517e+06	1
0.603	3	1	3	1.76517e+06	2
0.641	1	2	1	1.76517e+06	0
0.641	2	2	1	1.76517e+06	1
0.641	3	2	1	1.76517e+06	2
0.642	1	3	2	1.76517e+06	0
0.642	2	3	2	1.76517e+06	1
0.642	3	3	2	1.76517e+06	2
0.643	1	1	3	1.76517e+06	0
0.643	2	1	3	1.76517e+06	1
0.643	3	1	3	1.76517e+06	2
0.681	1	2	1	1.76517e+06	0
0.681	2	2	1	1.76517e+06	1
0.681	3	2	1	1.76517e+06	2
0.682	1	3	2	1.76517e+06	0
0.682	2	3	2	1.76517e+06	1
0.682	3	3	2	1.76517e+06	2
0.683	1	1	3	1.76517e+06	0
0.683	2	1	3	1.76517e+06	1
0.683	3	1	3	1.76517e+06	2
0.721	1	2	1	1.76517e+06	0
0.721	2	2	1	1.76517e+06	1
0.721	3	2	1	1.76517e+06	2
0.722	1	3	2	1.76517e+06	0
0.722	2	3	2	1.76517e+06	1
0.722	3	3	2	1.76517e+06	2
0.723	1	1	3	1.76517e+06	0
0.723	2	1	3	1.76517e+06	1
0.723	3	1	3	1.76517e+06	2
0.761	1	2	1	1.76517e+06	0
0.761	2	2	1	1.76517e+06	1
0.761	3	2	1	1.76517e+06	2
0.762	1	3	2	1.76517e+06	0
0.762	2	3	2	1.76517e+06	1
0.762	3	3	2	1.76517e+06	2
0.763	1	1	3	1.76517e+06	0
0.763	2	1	3	1.76517e+06	1
0.763	3	1	3	1.76517e+06	2
0.801	1	2	1	1.76517e+06	0
0.801	2	2	1	1.76517e+06	1
0.801	3	2	1	1.76517e+06	2
0.802	1	3	2	1.76517e+06	0
0.802	2	3	2	1.76517e+06	1
0.802	3	3	2	1.76517e+06	2
0.803	1	1	3	1.76517e+06	0
0.803	2	1	3	1.76517e+06	1
0.803	3	1	3	1.76517e+06	2
