% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.086	1	3	9	7	10	8	421	0	0	1
0.087	1	2	9	8	11	8	421	0	0	0
0.087	1	2	9	8	11	8	421	0	0	1
0.088	1	6	9	9	12	8	421	0	0	0
0.088	1	6	9	9	12	8	421	0	0	1
0.089	1	15	9	10	18	8	421	0	0	0
0.089	1	15	9	10	18	8	421	0	0	1
0.09	1	14	10	1	19	8	421	0	0	0
0.09	1	14	10	1	19	8	421	0	0	1
0.091	1	12	10	2	20	8	421	0	0	0
0.091	1	12	10	2	20	8	421	0	0	1
0.092	1	9	10	3	21	8	421	0	0	0
0.092	1	9	10	3	21	8	421	0	0	1
0.093	1	4	10	4	22	8	421	0	0	0
0.093	1	4	10	4	22	8	421	0	0	1
0.094	1	10	10	5	23	8	421	0	0	0
0.094	1	10	10	5	23	8	421	0	0	1
0.095	1	1	10	6	24	8	421	0	0	0
0.095	1	1	10	6	24	8	421	0	0	1
0.096	1	7	10	7	1	8	421	0	0	0
0.096	1	7	10	7	1	8	421	0	0	1
0.097	1	8	10	8	2	8	421	0	0	0
0.097	1	8	10	8	2	8	421	0	0	1
0.098	1	13	10	9	3	8	421	0	0	0
0.098	1	13	10	9	3	8	421	0	0	1
0.099	1	5	10	10	4	8	421	0	0	0
0.099	1	5	10	10	4	8	421	0	0	1
0.1	1	11	11	1	9	8	421	0	0	0
0.1	1	11	11	1	9	8	421	0	0	1
0.101	1	3	11	2	10	8	421	0	0	0
0.101	1	3	11	2	10	8	421	0	0	1
0.102	1	2	11	3	11	8	421	0	0	0
0.102	1	2	11	3	11	8	421	0	0	1
0.103	1	6	11	4	12	8	421	0	0	0
0.103	1	6	11	4	12	8	421	0	0	1
0.104	1	15	11	5	18	8	421	0	0	0
0.104	1	15	11	5	18	8	421	0	0	1
0.105	1	14	11	6	19	8	421	0	0	0
0.105	1	14	11	6	19	8	421	0	0	1
0.106	1	12	11	7	20	8	421	0	0	0
0.106	1	12	11	7	20	8	421	0	0	1
0.107	1	9	11	8	21	8	421	0	0	0
0.107	1	9	11	8	21	8	421	0	0	1
0.108	1	4	11	9	22	8	421	0	0	0
0.108	1	4	11	9	22	8	421	0	0	1
0.109	1	10	11	10	23	8	421	0	0	0
0.109	1	10	11	10	23	8	421	0	0	1
0.11	1	1	12	1	24	8	421	0	0	0
0.11	1	1	12	1	24	8	421	0	0	1
0.111	1	7	12	2	1	8	421	0	0	0
0.111	1	7	12	2	1	8	421	0	0	1
0.112	1	8	12	3	2	8	421	0	0	0
0.112	1	8	12	3	2	8	421	0	0	1
0.113	1	13	12	4	3	8	421	0	0	0
0.113	1	13	12	4	3	8	421	0	0	1
0.114	1	5	12	5	4	8	421	0	0	0
0.114	1	5	12	5	4	8	421	0	0	1
0.115	1	11	12	6	9	8	421	0	0	0
0.115	1	11	12	6	9	8	421	0	0	1
0.116	1	3	12	7	10	8	421	0	0	0
0.116	1	3	12	7	10	8	421	0	0	1
0.117	1	2	12	8	11	8	421	0	0	0
0.117	1	2	12	8	11	8	421	0	0	1
0.118	1	6	12	9	12	8	421	0	0	0
0.118	1	6	12	9	12	8	421	0	0	1
0.119	1	15	12	10	18	8	421	0	0	0
0.119	1	15	12	10	18	8	421	0	0	1
0.12	1	14	13	1	19	8	421	0	0	0
0.12	1	14	13	1	19	8	421	0	0	1
0.121	1	12	13	2	20	8	421	0	0	0
0.121	1	12	13	2	20	8	421	0	0	1
0.122	1	9	13	3	21	8	421	0	0	0
0.122	1	9	13	3	21	8	421	0	0	1
0.123	1	4	13	4	22	8	421	0	0	0
0.123	1	4	13	4	22	8	421	0	0	1
0.124	1	10	13	5	23	8	421	0	0	0
0.124	1	10	13	5	23	8	421	0	0	1
0.125	1	1	13	6	24	8	421	0	0	0
0.125	1	1	13	6	24	8	421	0	0	1
0.126	1	7	13	7	1	8	421	0	0	0
0.126	1	7	13	7	1	8	421	0	0	1
0.127	1	8	13	8	2	8	421	0	0	0
0.127	1	8	13	8	2	8	421	0	0	1
0.128	1	13	13	9	3	8	421	0	0	0
