% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
43	2	2	11	0	0	7	0	1	1
43	2	3	10	0	0	7	0	1	1
43	2	6	12	0	0	7	0	1	1
43	2	11	9	0	0	7	0	1	1
44	1	3	10	0	0	7	0	1	0
44	1	5	4	0	0	7	0	1	0
44	1	7	1	0	0	7	0	1	0
44	1	8	2	0	0	7	0	1	0
44	1	9	21	0	0	7	0	1	0
44	1	11	9	0	0	7	0	1	0
44	1	12	20	0	0	7	0	1	0
44	1	13	3	0	0	7	0	1	0
44	2	5	4	0	0	7	0	1	1
44	2	7	1	0	0	7	0	1	1
44	2	8	2	0	0	7	0	1	1
44	2	13	3	0	0	7	0	1	1
44	2	9	21	0	0	7	0	1	1
44	2	12	20	0	0	7	0	1	1
44	2	14	19	0	0	7	0	1	1
44	2	15	18	0	0	7	0	1	1
45	1	2	11	0	0	7	0	1	0
45	1	6	12	0	0	7	0	1	0
45	1	7	1	0	0	7	0	1	0
45	1	8	2	0	0	7	0	1	0
45	1	9	21	0	0	7	0	1	0
45	1	12	20	0	0	7	0	1	0
45	1	14	19	0	0	7	0	1	0
45	1	15	18	0	0	7	0	1	0
45	2	2	11	0	0	7	0	1	1
45	2	3	10	0	0	7	0	1	1
45	2	6	12	0	0	7	0	1	1
45	2	11	9	0	0	7	0	1	1
45	2	9	21	0	0	7	0	1	1
45	2	12	20	0	0	7	0	1	1
45	2	14	19	0	0	7	0	1	1
45	2	15	18	0	0	7	0	1	1
46	1	2	11	0	0	7	0	1	0
46	1	3	10	0	0	7	0	1	0
46	1	5	4	0	0	7	0	1	0
46	1	6	12	0	0	7	0	1	0
46	1	11	9	0	0	7	0	1	0
46	1	13	3	0	0	7	0	1	0
46	1	14	19	0	0	7	0	1	0
46	1	15	18	0	0	7	0	1	0
46	2	5	4	0	0	7	0	1	1
46	2	7	1	0	0	7	0	1	1
46	2	8	2	0	0	7	0	1	1
46	2	13	3	0	0	7	0	1	1
46	2	2	11	0	0	7	0	1	1
46	2	3	10	0	0	7	0	1	1
46	2	6	12	0	0	7	0	1	1
46	2	11	9	0	0	7	0	1	1
47	1	3	10	0	0	7	0	1	0
47	1	5	4	0	0	7	0	1	0
47	1	7	1	0	2	18	0	1	0
47	1	8	2	0	0	7	0	1	0
47	1	9	21	0	0	7	0	1	0
47	1	11	9	0	0	7	0	1	0
47	1	12	20	0	0	7	0	1	0
47	1	13	3	0	0	7	0	1	0
47	2	5	4	0	0	7	0	1	1
47	2	7	1	0	2	18	0	1	1
47	2	8	2	0	0	7	0	1	1
47	2	13	3	0	0	7	0	1	1
47	2	9	21	0	0	7	0	1	1
47	2	12	20	0	0	7	0	1	1
47	2	14	19	0	0	7	0	1	1
47	2	15	18	0	0	7	0	1	1
48	1	2	11	0	0	7	0	1	0
48	1	6	12	0	0	7	0	1	0
48	1	7	1	0	2	18	0	1	0
48	1	8	2	0	2	18	0	1	0
48	1	9	21	0	0	7	0	1	0
48	1	12	20	0	0	7	0	1	0
48	1	14	19	0	0	7	0	1	0
48	1	15	18	0	0	7	0	1	0
48	2	2	11	0	0	7	0	1	1
48	2	3	10	0	0	7	0	1	1
48	2	6	12	0	0	7	0	1	1
48	2	11	9	0	0	7	0	1	1
48	2	9	21	0	0	7	0	1	1
48	2	12	20	0	0	7	0	1	1
48	2	14	19	0	0	7	0	1	1
48	2	15	18	0	0	7	0	1	1
49	1	2	11	0	0	7	0	1	0
49	1	3	10	0	0	7	0	1	0
49	1	5	4	0	0	7	0	1	0
49	1	6	12	0	0	7	0	1	0
49	1	11	9	0	0	7	0	1	0
49	1	13	3	0	2	18	0	1	0
49	1	14	19	0	0	7	0	1	0
49	1	15	18	0	0	7	0	1	0
49	2	5	4	0	0	7	0	1	1
49	2	7	1	0	2	18	0	1	1
49	2	8	2	0	2	18	0	1	1
49	2	13	3	0	2	18	0	1	1
49	2	2	11	0	0	7	0	1	1
49	2	3	10	0	0	7	0	1	1
49	2	6	12	0	0	7	0	1	1
49	2	11	9	0	0	7	0	1	1
50	1	1	24	0	0	7	0	1	0
50	1	4	22	0	0	7	0	1	0
50	1	7	1	0	2	18	0	1	0
50	1	8	2	0	2	18	0	1	0
50	1	9	21	0	0	7	0	1	0
50	1	10	23	0	0	7	0	1	0
50	1	12	20	0	0	7	0	1	0
50	1	13	3	0	2	18	0	1	0
50	2	7	1	0	2	18	0	1	1
50	2	9	21	0	0	7	0	1	1
50	2	12	20	0	0	7	0	1	1
50	2	14	19	0	0	7	0	1	1
50	2	15	18	0	0	7	0	1	1
50	2	1	24	0	0	7	0	1	1
50	2	4	22	0	0	7	0	1	1
50	2	10	23	0	0	7	0	1	1
51	1	2	11	0	0	7	0	1	0
51	1	3	10	0	0	7	0	1	0
51	1	5	4	0	2	18	0	1	0
51	1	6	12	0	0	7	0	1	0
51	1	11	9	0	0	7	0	1	0
51	1	12	20	0	0	7	0	1	0
51	1	14	19	0	0	7	0	1	0
51	1	15	18	0	0	7	0	1	0
51	2	5	4	0	2	18	0	1	1
51	2	8	2	0	2	18	0	1	1
51	2	13	3	0	2	18	0	1	1
51	2	2	11	0	0	7	0	1	1
51	2	3	10	0	0	7	0	1	1
51	2	6	12	0	0	7	0	1	1
51	2	11	9	0	0	7	0	1	1
51	2	15	18	0	0	7	0	1	1
52	1	1	24	0	0	7	0	1	0
52	1	4	22	0	0	7	0	1	0
52	1	5	4	0	2	18	0	1	0
52	1	7	1	0	2	18	0	1	0
52	1	8	2	0	2	18	0	1	0
52	1	9	21	0	0	7	0	1	0
52	1	10	23	0	0	7	0	1	0
52	1	13	3	0	2	18	0	1	0
52	2	7	1	0	2	18	0	1	1
52	2	8	2	0	2	18	0	1	1
52	2	9	21	0	0	7	0	1	1
52	2	12	20	0	0	7	0	1	1
52	2	14	19	0	0	7	0	1	1
52	2	1	24	0	0	7	0	1	1
52	2	4	22	0	0	7	0	1	1
52	2	10	23	0	0	7	0	1	1
53	1	2	11	0	0	7	0	1	0
53	1	3	10	0	0	7	0	1	0
53	1	6	12	0	0	7	0	1	0
53	1	9	21	0	0	7	0	1	0
53	1	11	9	0	0	7	0	1	0
53	1	12	20	0	0	7	0	1	0
53	1	14	19	0	0	7	0	1	0
53	1	15	18	0	0	7	0	1	0
53	2	5	4	0	2	18	0	1	1
53	2	13	3	0	2	18	0	1	1
53	2	2	11	0	0	7	0	1	1
53	2	3	10	0	0	7	0	1	1
53	2	6	12	0	0	7	0	1	1
53	2	11	9	0	0	7	0	1	1
53	2	14	19	0	0	7	0	1	1
53	2	15	18	0	0	7	0	1	1
54	1	1	24	0	0	7	0	1	0
54	1	4	22	0	0	7	0	1	0
54	1	5	4	0	2	18	0	1	0
54	1	7	1	0	2	18	0	1	0
54	1	8	2	0	2	18	0	1	0
54	1	10	23	0	0	7	0	1	0
54	1	11	9	0	0	7	0	1	0
54	1	13	3	0	2	18	0	1	0
54	2	7	1	0	2	18	0	1	1
54	2	8	2	0	2	18	0	1	1
54	2	13	3	0	2	18	0	1	1
54	2	9	21	0	0	7	0	1	1
54	2	12	20	0	0	7	0	1	1
54	2	1	24	0	0	7	0	1	1
54	2	4	22	0	0	7	0	1	1
54	2	10	23	0	0	7	0	1	1
55	1	2	11	0	0	7	0	1	0
55	1	3	10	0	0	7	0	1	0
55	1	4	22	0	0	7	0	1	0
55	1	6	12	0	0	7	0	1	0
55	1	9	21	0	0	7	0	1	0
55	1	12	20	0	0	7	0	1	0
55	1	14	19	0	0	7	0	1	0
55	1	15	18	0	0	7	0	1	0
55	2	5	4	0	2	18	0	1	1
55	2	2	11	0	0	7	0	1	1
55	2	3	10	0	0	7	0	1	1
55	2	6	12	0	0	7	0	1	1
55	2	11	9	0	2	18	0	1	1
55	2	12	20	0	0	7	0	1	1
55	2	14	19	0	0	7	0	1	1
55	2	15	18	0	0	7	0	1	1
56	1	1	24	0	0	7	0	1	0
56	1	3	10	0	2	18	0	1	0
56	1	5	4	0	2	18	0	1	0
56	1	7	1	0	2	18	0	1	0
56	1	8	2	0	2	18	0	1	0
56	1	10	23	0	0	7	0	1	0
56	1	11	9	0	2	18	0	1	0
56	1	13	3	0	2	18	0	1	0
56	2	5	4	0	2	18	0	1	1
56	2	7	1	0	2	18	0	1	1
56	2	8	2	0	2	18	0	1	1
56	2	13	3	0	2	18	0	1	1
56	2	9	21	0	0	7	0	1	1
56	2	1	24	0	0	7	0	1	1
56	2	4	22	0	0	7	0	1	1
56	2	10	23	0	0	7	0	1	1
57	1	2	11	0	2	18	0	1	0
57	1	4	22	0	0	7	0	1	0
57	1	6	12	0	0	7	0	1	0
57	1	9	21	0	0	7	0	1	0
57	1	10	23	0	0	7	0	1	0
57	1	12	20	0	0	7	0	1	0
57	1	14	19	0	0	7	0	1	0
57	1	15	18	0	0	7	0	1	0
57	2	2	11	0	2	18	0	1	1
57	2	3	10	0	2	18	0	1	1
57	2	6	12	0	0	7	0	1	1
57	2	11	9	0	2	18	0	1	1
57	2	9	21	0	0	7	0	1	1
57	2	12	20	0	0	7	0	1	1
57	2	14	19	0	0	7	0	1	1
57	2	15	18	0	0	7	0	1	1
58	1	1	24	0	0	7	0	1	0
58	1	2	11	0	2	18	0	1	0
58	1	3	10	0	2	18	0	1	0
58	1	5	4	0	2	18	0	1	0
58	1	7	1	0	2	18	0	1	0
58	1	8	2	0	2	18	0	1	0
58	1	11	9	0	2	18	0	1	0
58	1	13	3	0	2	18	0	1	0
58	2	5	4	0	2	18	0	1	1
58	2	7	1	0	2	18	0	1	1
58	2	8	2	0	2	18	0	1	1
58	2	13	3	0	2	18	0	1	1
58	2	11	9	0	2	18	0	1	1
58	2	1	24	0	0	7	0	1	1
58	2	4	22	0	0	7	0	1	1
58	2	10	23	0	0	7	0	1	1
59	1	1	24	0	0	7	0	1	0
59	1	4	22	0	0	7	0	1	0
59	1	6	12	0	2	18	0	1	0
59	1	9	21	0	0	7	0	1	0
59	1	10	23	0	0	7	0	1	0
59	1	12	20	0	0	7	0	1	0
